sentence,score,label
Royal Mail chairman Donald Brydon set to step down,-0.374,1
Slump in Weir leads FTSE down from record high,-0.827,1
AstraZeneca wins FDA approval for key new lung cancer pill,0.549,3
UPDATE 1-Lloyds to cut 945 jobs as part of 3-year restructuring plan,-0.266,1
Standard Chartered Shifts Emerging-Markets Strategy After Losses,-0.461,1
AstraZeneca's Lung Cancer Drug Tagrisso Gets FDA Approval,0.393,3
Severn Trent share price rises as first half profit inches up as customer ...,0.526,3
Glencore sees Tripoli-based NOC as sole legal seller of Libyan oil,0.037,3
Lloyds to cut 945 jobs as part of three-year restructuring strategy,-0.532,1
AstraZeneca to Buy ZS Pharma for $2.7 Billion,0.593,3
"Ackman, in email, says supports Valeant CEO Pearson",0.166,3
AstraZeneca sells US drug rights to Perrigo for $380 mln,0.326,3
"UPDATE 1-AstraZeneca buys ZS Pharma for $2.7 billion, pips Actelion",0.468,3
CORRECTED-Shire to buy Dyax for about $5.9 bln,0.402,3
Barclays poised to replace Sir Mike Rake as he heads for exit,0.077,3
AstraZeneca Acquires ZS Pharma in $2.7 Billion Deal,0.52,3
AstraZeneca shares climb 3% as drug maker ups profits forecasts,0.64,3
Peroni and Grolsch put up for sale as AB InBev plans acquisition of SABMiller,0.551,3
easyJet expects resilient demand to withstand security fears,0.165,3
Compass Group says positive for year ahead,0.634,3
Bunzl Lifts Dividend Again As Acquisitions Continue To Boost Profits,0.401,3
US dollar wipes out sales gains for SABMiller,-0.582,1
"UPDATE 1-SABMiller 2nd-quarter underlying sales rise, forex impacts margins",0.043,3
UPDATE 2-Pricey beers lift SABMiller's quarterly underlying sales,0.429,3
Valeant CEO Pledges to Heed Critics After `Painful' Experience,-0.381,1
"Are Aviva plc, Direct Line Insurance Group PLC And Admiral Group plc Set To Soar?",0.324,3
"Are Aviva plc, Direct Line Insurance Group PLC And Admiral Group plc Set To Soar?",0.345,3
StanChart and RBS struggle in Bank of England stress tests,-0.738,1
StanChart and RBS struggle in Bank of England stress tests,-0.39,1
REFILE-UPDATE 4-Britain's Lloyds to pay first dividend since rescue,0.522,3
Barclays sells benchmark indices unit to Bloomberg,0.281,3
"Sainsbury's, Asda, Tesco and Morrisons will all cut petrol prices as oil falls ...",-0.251,1
"Sainsbury's, Asda, Tesco and Morrisons will all cut petrol prices as oil falls ...",-0.222,1
"Sainsbury's, Asda, Tesco and Morrisons will all cut petrol prices as oil falls ...",-0.259,1
"EU drops Shell, BP, Statoil from ethanol benchmark investigation",0.276,3
"EU drops Shell, BP, Statoil from ethanol benchmark investigation",0.294,3
AstraZeneca Explores Potential Deal With Acerta for Cancer Drug,0.372,3
